group,team,fifa_rank,category,shirt_number,name,club,position_detail,dob,age,badges,epithet
A,Mexico,15,Coach,,Javier Aguirre,,Manager,,,,
A,Mexico,15,Goalkeeper,1,Raúl Rangel,Guadalajara,Goalkeeper,2000-02-25,26,,
A,Mexico,15,Goalkeeper,12,Carlos Acevedo,Santos Laguna,Goalkeeper,1996-04-19,30,,Vocal
A,Mexico,15,Goalkeeper,13,Guillermo Ochoa,Limassol,Goalkeeper,1985-07-13,40,,Legend
A,Mexico,15,Defender,2,Jorge Sánchez,PAOK,Defender,1997-12-10,28,defender,The long-distance runner
A,Mexico,15,Defender,3,César Montes,Lokomotiv Moscow,Defender,1997-02-24,29,,Set-pieces threat
A,Mexico,15,Defender,5,Johan Vásquez,Genoa,Defender,1998-10-22,27,,
A,Mexico,15,Defender,15,Israel Reyes,América,Defender,2000-05-23,26,,
A,Mexico,15,Defender,20,Mateo Chávez,AZ Alkmaar,Defender,2004-05-12,22,,
A,Mexico,15,Defender,23,Jesús Gallardo,Toluca,Defender,1994-08-15,31,,
A,Mexico,15,Midfielder,4,Edson Álvarez,Fenerbahce,Midfielder,1997-10-24,28,captain|midfielder,
A,Mexico,15,Midfielder,6,Erik Lira,Cruz Azul,Midfielder,2000-05-08,26,,Modern holding midfielder
A,Mexico,15,Midfielder,7,Luis Romo,Guadalajara,Midfielder,1995-06-05,31,,
A,Mexico,15,Midfielder,8,Álvaro Fidalgo,Real Betis,Midfielder,1997-04-09,29,,Real Madrid graduate
A,Mexico,15,Midfielder,17,Orbelín Pineda,AEK Athens,Midfielder,1996-03-24,30,,
A,Mexico,15,Midfielder,18,Obed Vargas,Atlético Madrid,Midfielder,2005-08-05,20,,
A,Mexico,15,Midfielder,19,Gilberto Mora,Club Tijuana,Midfielder,2008-10-14,17,breakout,On the rise
A,Mexico,15,Midfielder,24,Luis Chávez,Dynamo Moscow,Midfielder,1996-01-15,30,,
A,Mexico,15,Midfielder,26,Brian Gutiérrez,Guadalajara,Midfielder,2003-06-17,22,,
A,Mexico,15,Forward,9,Raúl Jiménez,Fulham,Forward,1991-05-05,35,attacker,Back from the brink
A,Mexico,15,Forward,10,Alexis Vega,Toluca,Forward,1997-11-25,28,,
A,Mexico,15,Forward,11,Santiago Gimenez,Milan,Forward,2001-04-18,25,star,
A,Mexico,15,Forward,14,Armando González,Guadalajara,Forward,2003-04-20,23,,‘The Ant’
A,Mexico,15,Forward,16,Julián Quiñones,Al-Qadsiah,Forward,1997-03-24,29,,Fighting forward
A,Mexico,15,Forward,21,César Huerta,Anderlecht,Forward (winger),2000-12-03,25,gem,Surprise call-up
A,Mexico,15,Forward,22,Guillermo Martínez,Pumas,Forward,1995-03-15,31,,
A,Mexico,15,Forward,25,Roberto Alvarado,Guadalajara,Forward (winger),1998-09-07,27,,
A,South Korea,25,Coach,,Hong Myung-Bo,,Manager,,,,
A,South Korea,25,Goalkeeper,1,Kim Seung-gyu,FC Tokyo,Goalkeeper,1990-09-30,35,,
A,South Korea,25,Goalkeeper,12,Song Bum-keun,Jeonbuk Hyundai Motors,Goalkeeper,1997-10-15,28,,Good distribution
A,South Korea,25,Goalkeeper,21,Jo Hyeon-woo,Ulsan HD FC,Goalkeeper,1991-09-25,34,,
A,South Korea,25,Defender,2,Lee Han-beom,FC Midtjylland,Defender,2002-06-17,23,,
A,South Korea,25,Defender,3,Lee Ki-hyuk,Gangwon FC,Defender,2000-07-07,25,,Fan of John O'Shea
A,South Korea,25,Defender,4,Kim Min-jae,Bayern Munich,Defender,1996-11-15,29,defender,Defensive rock
A,South Korea,25,Defender,5,Kim Tae-hyeon,Kashima Antlers,Defender,2000-09-17,25,,
A,South Korea,25,Defender,13,Lee Tae-seok,Austria Wien,Defender,2002-07-28,23,,
A,South Korea,25,Defender,14,Cho Wi-je,Jeonbuk Hyundai Motors,Defender,2001-08-25,24,,Late call-up
A,South Korea,25,Defender,15,Kim Moon-hwan,Daejeon Hana Citizen,Defender,1995-08-01,30,,Former forward
A,South Korea,25,Defender,16,Park Jin-seob,Zhejiang FC,Defender,1995-10-23,30,gem,Late bloomer
A,South Korea,25,Defender,22,Seol Young-woo,Red Star Belgrade,Defender,1998-12-05,27,,
A,South Korea,25,Defender,23,Jens Castrop,Borussia Mönchengladbach,Defender,2003-07-29,22,,
A,South Korea,25,Midfielder,6,Hwang In-beom,Feyenoord,Midfielder,1996-09-20,29,,Key midfielder
A,South Korea,25,Midfielder,8,Paik Seung-ho,Birmingham City,Midfielder,1997-03-17,29,,
A,South Korea,25,Midfielder,10,Lee Jae-sung,Mainz 05,Midfielder,1992-08-10,33,,Legend
A,South Korea,25,Midfielder,20,Yang Hyun-jun,Celtic,Midfielder,2002-05-25,24,,Tactically astute
A,South Korea,25,Midfielder,24,Kim Jin-gyu,Jeonbuk Hyundai Motors,Midfielder,1997-02-24,29,,
A,South Korea,25,Midfielder,26,Lee Dong-gyeong,Ulsan Hyundai,Midfielder,1997-09-20,28,,
A,South Korea,25,Forward,7,Son Heung-min,Los Angeles FC,Forward,1992-07-08,33,star|captain|attacker,Superstar
A,South Korea,25,Forward,9,Cho Gue-sung,FC Midtjylland,Forward,1998-01-25,28,,
A,South Korea,25,Forward,11,Hwang Hee-chan,Wolves,Forward,1996-01-26,30,,Creative powerhouse
A,South Korea,25,Forward,17,Bae Jun-ho,Stoke City,Forward (winger),2003-08-21,22,,
A,South Korea,25,Forward,18,Oh Hyeon-gyu,Besiktas,Forward,2001-04-12,25,,
A,South Korea,25,Forward,19,Lee Kang-in,Paris St-Germain,Forward,2001-02-19,25,midfielder,
A,South Korea,25,Forward,25,Eom Ji-sung,Swansea City,Forward (winger),2002-05-09,24,,One to watch
A,Czechia,41,Coach,,Miroslav Koubek,,Manager,,,,
A,Czechia,41,Goalkeeper,1,Matej Kovar,PSV Eindhoven,Goalkeeper,2000-05-17,26,,
A,Czechia,41,Goalkeeper,16,Jindrich Stanek,Slavia Prague,Goalkeeper,1996-04-27,30,,'El Tigre'
A,Czechia,41,Goalkeeper,23,Lukas Hornicek,Braga,Goalkeeper,2002-07-13,23,,
A,Czechia,41,Defender,2,David Zima,Slavia Prague,Defender,2000-11-08,25,defender,
A,Czechia,41,Defender,3,Tomas Holes,Slavia Prague,Defender,1993-03-31,33,captain,Quiet leader
A,Czechia,41,Defender,4,Robin Hranac,Hoffenheim,Defender,2000-01-29,26,,High pain threshold
A,Czechia,41,Defender,5,Vladimir Coufal,Hoffenheim,Defender,1992-08-22,33,,Self-confessed 'mad man'
A,Czechia,41,Defender,6,Stepan Chaloupek,Slavia Prague,Defender,2003-03-08,23,,
A,Czechia,41,Defender,7,Ladislav Krejci,Wolves,Defender,1999-04-20,27,,Decisive
A,Czechia,41,Defender,14,David Jurasek,Slavia Prague,Defender,2000-08-07,25,,
A,Czechia,41,Defender,20,Jaroslav Zeleny,Sparta Prague,Defender,1992-08-20,33,,Angry driver
A,Czechia,41,Defender,21,David Doudera,Slavia Prague,Defender,1998-05-31,28,,
A,Czechia,41,Midfielder,8,Vladimír Darida,Hradec Kralove,Midfielder,1990-08-08,35,,
A,Czechia,41,Midfielder,12,Lukas Cerv,Viktoria Plzen,Midfielder,2001-04-10,25,,
A,Czechia,41,Midfielder,15,Pavel Sulc,Lyon,Midfielder,2000-12-29,25,gem,Going places
A,Czechia,41,Midfielder,18,Michal Sadilek,Slavia Prague,Midfielder,1999-05-31,27,,Adventurous
A,Czechia,41,Midfielder,22,Tomas Soucek,West Ham,Midfielder,1995-02-27,31,midfielder,Midfield engine
A,Czechia,41,Midfielder,24,Alexandr Sojka,Viktoria Plzen,Midfielder,2003-04-02,23,,
A,Czechia,41,Midfielder,25,Hugo Sochurek,Sparta Prague,Midfielder,2008-06-07,18,breakout,Wonderkid
A,Czechia,41,Midfielder,26,Denis Visinsky,Viktoria Plzen,Midfielder,2003-03-21,23,,
A,Czechia,41,Forward,9,Adam Hlozek,Hoffenheim,Forward,2002-07-25,23,attacker|star,Fan of lions
A,Czechia,41,Forward,10,Patrik Schick,Bayer Leverkusen,Forward,1996-01-24,30,,
A,Czechia,41,Forward,11,Jan Kuchta,Sparta Prague,Forward,1997-01-08,29,,Loves chickens
A,Czechia,41,Forward,13,Mojmir Chytil,Slavia Prague,Forward,1999-04-29,27,,
A,Czechia,41,Forward,17,Lukas Provod,Slavia Prague,Forward (winger),1996-10-23,29,,
A,Czechia,41,Forward,19,Tomas Chory,Slavia Prague,Forward,1995-01-26,31,,Hot-headed
A,South Africa,60,Coach,,Hugo Broos,,Manager,,,,
A,South Africa,60,Goalkeeper,1,Ronwen Williams,Mamelodi Sundowns,Goalkeeper,1992-01-21,34,,No1 goalkeeper
A,South Africa,60,Goalkeeper,16,Sipho Chaine,Orlando Pirates,Goalkeeper,1996-12-14,29,,
A,South Africa,60,Goalkeeper,22,Ricardo Goss,Siwelele FC,Goalkeeper,1994-04-02,32,,
A,South Africa,60,Defender,2,Thabang Matuludi,Polokwane City,Defender,1999-01-14,27,defender,
A,South Africa,60,Defender,3,Khulumani Ndamane,Mamelodi Sundowns,Defender,2004-02-05,22,,
A,South Africa,60,Defender,14,Mbekezeli Mbokazi,Chicago Fire,Defender,2005-09-19,20,,Rapid riser
A,South Africa,60,Defender,18,Samukele Kabini,Molde,Defender,2004-03-15,22,,
A,South Africa,60,Defender,19,Nkosinathi Sibisi,Orlando Pirates,Defender,1995-09-22,30,,
A,South Africa,60,Defender,20,Khuliso Mudau,Mamelodi Sundowns,Defender,1995-04-26,31,,Natural leader
A,South Africa,60,Defender,21,Ime Okon,Hannover 96,Defender,2004-02-20,22,,
A,South Africa,60,Defender,24,Olwethu Makhanya,Philadelphia Union,Defender,2004-04-30,22,breakout,Newcomer
A,South Africa,60,Defender,25,Kamogelo Sebelebele,Orlando Pirates,Defender,2002-07-21,23,,Electric
A,South Africa,60,Defender,26,Bradley Cross,Kaizer Chiefs,Defender,2001-01-30,25,,
A,South Africa,60,Midfielder,4,Teboho Mokoena,Mamelodi Sundowns,Midfielder,1997-01-24,29,midfielder,Essential
